,Year,Month,RainFall(mm)
0,1901,1.0,13.12
1,1902,1.0,0.0
2,1903,1.0,0.0
3,1904,1.0,0.0
4,1905,1.0,0.66
5,1906,1.0,0.0
6,1907,1.0,2.52
7,1908,1.0,1.78
8,1909,1.0,0.0
9,1910,1.0,0.0
10,1911,1.0,0.23
11,1912,1.0,0.0
12,1913,1.0,0.0
13,1914,1.0,0.0
14,1915,1.0,0.0
15,1916,1.0,0.0
16,1917,1.0,0.0
17,1918,1.0,0.0
18,1919,1.0,1.66
19,1920,1.0,42.62
20,1921,1.0,0.0
21,1922,1.0,0.0
22,1923,1.0,0.0
23,1924,1.0,0.0
24,1925,1.0,0.0
25,1926,1.0,51.35
26,1927,1.0,0.0
27,1928,1.0,0.0
28,1929,1.0,4.4
29,1930,1.0,0.0
30,1931,1.0,0.0
31,1932,1.0,0.0
32,1933,1.0,0.0
33,1934,1.0,0.0
34,1935,1.0,0.0
35,1936,1.0,0.0
36,1937,1.0,0.0
37,1938,1.0,0.0
38,1939,1.0,0.0
39,1940,1.0,13.12
40,1941,1.0,0.36
41,1942,1.0,0.0
42,1943,1.0,2.65
43,1944,1.0,0.0
44,1945,1.0,14.57
45,1946,1.0,0.0
46,1947,1.0,0.33
47,1948,1.0,5.05
48,1949,1.0,0.0
49,1950,1.0,0.0
50,1951,1.0,0.0
51,1952,1.0,0.0
52,1953,1.0,0.0
53,1954,1.0,0.12
54,1955,1.0,0.0
55,1956,1.0,0.0
56,1957,1.0,0.0
57,1958,1.0,0.13
58,1959,1.0,0.0
59,1960,1.0,0.0
60,1961,1.0,0.0
61,1962,1.0,0.0
62,1963,1.0,4.42
63,1964,1.0,0.0
64,1965,1.0,3.09
65,1966,1.0,0.0
66,1967,1.0,0.0
67,1968,1.0,0.0
68,1969,1.0,0.0
69,1970,1.0,0.53
70,1971,1.0,0.0
71,1972,1.0,0.0
72,1973,1.0,0.0
73,1974,1.0,0.0
74,1975,1.0,0.0
75,1976,1.0,0.0
76,1977,1.0,0.0
77,1978,1.0,0.0
78,1979,1.0,0.0
79,1980,1.0,1.13
80,1981,1.0,0.96
81,1982,1.0,0.0
82,1983,1.0,0.0
83,1984,1.0,0.0
84,1985,1.0,0.0
85,1986,1.0,0.0
86,1987,1.0,0.0
87,1988,1.0,0.0
88,1989,1.0,6.14
89,1990,1.0,0.0
90,1991,1.0,0.0
91,1992,1.0,0.0
92,1993,1.0,0.0
93,1994,1.0,12.47
94,1995,1.0,0.9
95,1996,1.0,2.6
96,1997,1.0,0.0
97,1998,1.0,0.0
98,1999,1.0,0.0
99,2000,1.0,0.0
100,2001,1.0,1.01
101,2002,1.0,0.0
102,2003,1.0,0.0
103,2004,1.0,0.0
104,2005,1.0,0.54
105,2006,1.0,0.0
106,2007,1.0,0.0
107,2008,1.0,0.0
108,2009,1.0,0.0
109,2010,1.0,0.0
110,2011,1.0,0.0
111,2012,1.0,0.0
112,2013,1.0,0.0
113,2014,1.0,0.47
114,2015,1.0,0.0
115,2016,1.0,0.0
116,2017,1.0,0.0
117,2018,1.0,0.0
118,2019,1.0,0.0
119,2020,1.0,0.0
120,2021,1.0,0.73
121,1901,2.0,0.0
122,1902,2.0,0.0
123,1903,2.0,0.0
124,1904,2.0,0.0
125,1905,2.0,1.71
126,1906,2.0,3.31
127,1907,2.0,2.98
128,1908,2.0,2.2
129,1909,2.0,0.0
130,1910,2.0,0.0
131,1911,2.0,0.53
132,1912,2.0,0.0
133,1913,2.0,0.35
134,1914,2.0,3.1
135,1915,2.0,12.03
136,1916,2.0,0.0
137,1917,2.0,21.11
138,1918,2.0,0.0
139,1919,2.0,0.0
140,1920,2.0,2.39
141,1921,2.0,0.0
142,1922,2.0,0.0
143,1923,2.0,0.25
144,1924,2.0,0.0
145,1925,2.0,0.0
146,1926,2.0,0.0
147,1927,2.0,1.85
148,1928,2.0,2.19
149,1929,2.0,0.0
150,1930,2.0,0.0
151,1931,2.0,0.0
152,1932,2.0,0.0
153,1933,2.0,0.0
154,1934,2.0,0.0
155,1935,2.0,0.0
156,1936,2.0,0.35
157,1937,2.0,6.03
158,1938,2.0,0.0
159,1939,2.0,0.0
160,1940,2.0,9.17
161,1941,2.0,0.0
162,1942,2.0,0.0
163,1943,2.0,0.0
164,1944,2.0,0.0
165,1945,2.0,0.0
166,1946,2.0,0.0
167,1947,2.0,0.0
168,1948,2.0,0.0
169,1949,2.0,0.0
170,1950,2.0,0.0
171,1951,2.0,0.0
172,1952,2.0,0.0
173,1953,2.0,0.0
174,1954,2.0,7.98
175,1955,2.0,0.0
176,1956,2.0,0.0
177,1957,2.0,0.0
178,1958,2.0,0.0
179,1959,2.0,0.0
180,1960,2.0,0.0
181,1961,2.0,19.35
182,1962,2.0,0.59
183,1963,2.0,0.0
184,1964,2.0,0.0
185,1965,2.0,0.0
186,1966,2.0,0.0
187,1967,2.0,0.0
188,1968,2.0,0.0
189,1969,2.0,0.0
190,1970,2.0,0.0
191,1971,2.0,0.61
192,1972,2.0,4.0
193,1973,2.0,0.47
194,1974,2.0,0.0
195,1975,2.0,0.0
196,1976,2.0,0.0
197,1977,2.0,0.0
198,1978,2.0,0.53
199,1979,2.0,0.26
200,1980,2.0,0.0
201,1981,2.0,0.53
202,1982,2.0,0.0
203,1983,2.0,0.0
204,1984,2.0,0.88
205,1985,2.0,0.0
206,1986,2.0,0.0
207,1987,2.0,0.0
208,1988,2.0,0.0
209,1989,2.0,0.0
210,1990,2.0,0.67
211,1991,2.0,0.0
212,1992,2.0,0.0
213,1993,2.0,0.0
214,1994,2.0,0.0
215,1995,2.0,0.0
216,1996,2.0,0.0
217,1997,2.0,0.0
218,1998,2.0,0.0
219,1999,2.0,0.15
220,2000,2.0,0.0
221,2001,2.0,0.0
222,2002,2.0,0.0
223,2003,2.0,1.95
224,2004,2.0,0.0
225,2005,2.0,0.0
226,2006,2.0,0.0
227,2007,2.0,0.0
228,2008,2.0,0.0
229,2009,2.0,0.0
230,2010,2.0,0.0
231,2011,2.0,0.0
232,2012,2.0,0.0
233,2013,2.0,0.0
234,2014,2.0,4.08
235,2015,2.0,0.0
236,2016,2.0,0.0
237,2017,2.0,0.0
238,2018,2.0,0.0
239,2019,2.0,0.0
240,2020,2.0,0.0
241,2021,2.0,0.83
242,1901,3.0,0.0
243,1902,3.0,0.0
244,1903,3.0,0.84
245,1904,3.0,11.38
246,1905,3.0,0.0
247,1906,3.0,0.0
248,1907,3.0,0.0
249,1908,3.0,0.29
250,1909,3.0,0.0
251,1910,3.0,0.0
252,1911,3.0,0.0
253,1912,3.0,0.0
254,1913,3.0,0.0
255,1914,3.0,0.0
256,1915,3.0,18.25
257,1916,3.0,0.0
258,1917,3.0,0.0
259,1918,3.0,11.04
260,1919,3.0,0.0
261,1920,3.0,0.0
262,1921,3.0,0.0
263,1922,3.0,0.0
264,1923,3.0,0.0
265,1924,3.0,0.16
266,1925,3.0,0.89
267,1926,3.0,0.0
268,1927,3.0,0.16
269,1928,3.0,0.0
270,1929,3.0,1.19
271,1930,3.0,0.0
272,1931,3.0,0.0
273,1932,3.0,0.0
274,1933,3.0,0.25
275,1934,3.0,0.48
276,1935,3.0,0.0
277,1936,3.0,0.0
